id,twitter
142,Hero Tamil curyy parpu cousin to Irwan Serrigar memang kuat berlakon @azeezputera Tunggu kita selesai satu satu.MHH…  
143,RT @PutraREFORMASI: Tunggu.. Lepas ni skandal felda Lepas tu MARA Lepas tu tabung haji Lepas tu tanah ATM Lepas tu skandal Scorpene Lepas t…
144,"RT @HafizRayyan: Pembunuhan Altantuya, Scorpene, MARA, Felda, 1MDB, JhoLow, Rosmah si boros, MH370, MH17, skandal Tabung Haji &amp; many more n…"
145,RT @PutraREFORMASI: Tunggu.. Lepas ni skandal felda Lepas tu MARA Lepas tu tabung haji Lepas tu tanah ATM Lepas tu skandal Scorpene Lepas t…
146,"Kids, no more Avengers ,Transfomers, Fast &amp; Furious..62 movies will released soon   "
147,RT @PutraREFORMASI: Tunggu.. Lepas ni skandal felda Lepas tu MARA Lepas tu tabung haji Lepas tu tanah ATM Lepas tu skandal Scorpene Lepas t…
148,RT @PutraREFORMASI: Tunggu.. Lepas ni skandal felda Lepas tu MARA Lepas tu tabung haji Lepas tu tanah ATM Lepas tu skandal Scorpene Lepas t…
149,RT @PutraREFORMASI: Tunggu.. Lepas ni skandal felda Lepas tu MARA Lepas tu tabung haji Lepas tu tanah ATM Lepas tu skandal Scorpene Lepas t…
150,RT @PutraREFORMASI: Tunggu.. Lepas ni skandal felda Lepas tu MARA Lepas tu tabung haji Lepas tu tanah ATM Lepas tu skandal Scorpene Lepas t…
151,RT @PutraREFORMASI: Tunggu.. Lepas ni skandal felda Lepas tu MARA Lepas tu tabung haji Lepas tu tanah ATM Lepas tu skandal Scorpene Lepas t…
152,RT @PutraREFORMASI: Tunggu.. Lepas ni skandal felda Lepas tu MARA Lepas tu tabung haji Lepas tu tanah ATM Lepas tu skandal Scorpene Lepas t…
153,RT @PutraREFORMASI: Tunggu.. Lepas ni skandal felda Lepas tu MARA Lepas tu tabung haji Lepas tu tanah ATM Lepas tu skandal Scorpene Lepas t…
154,RT @PutraREFORMASI: Tunggu.. Lepas ni skandal felda Lepas tu MARA Lepas tu tabung haji Lepas tu tanah ATM Lepas tu skandal Scorpene Lepas t…
155,"RT @HidupBer1: Ayuh @SPRMMalaysia jalankan kerja dn kewajipan, kamu tiada dikongkong oleh sesiapa lagi ..  "
156,Cukup cukup lah fitnah   
157,RT @PutraREFORMASI: Tunggu.. Lepas ni skandal felda Lepas tu MARA Lepas tu tabung haji Lepas tu tanah ATM Lepas tu skandal Scorpene Lepas t…
158,RT @PutraREFORMASI: Tunggu.. Lepas ni skandal felda Lepas tu MARA Lepas tu tabung haji Lepas tu tanah ATM Lepas tu skandal Scorpene Lepas t…
159,RT @PutraREFORMASI: Tunggu.. Lepas ni skandal felda Lepas tu MARA Lepas tu tabung haji Lepas tu tanah ATM Lepas tu skandal Scorpene Lepas t…
160,"RT @HafizRayyan: Pembunuhan Altantuya, Scorpene, MARA, Felda, 1MDB, JhoLow, Rosmah si boros, MH370, MH17, skandal Tabung Haji &amp; many more n…"
161,RT @PutraREFORMASI: Tunggu.. Lepas ni skandal felda Lepas tu MARA Lepas tu tabung haji Lepas tu tanah ATM Lepas tu skandal Scorpene Lepas t…
162,RT @PutraREFORMASI: Tunggu.. Lepas ni skandal felda Lepas tu MARA Lepas tu tabung haji Lepas tu tanah ATM Lepas tu skandal Scorpene Lepas t…
163,"RT @HafizRayyan: Pembunuhan Altantuya, Scorpene, MARA, Felda, 1MDB, JhoLow, Rosmah si boros, MH370, MH17, skandal Tabung Haji &amp; many more n…"
164,RT @KerajaanRakyat2: Berlakon sakit dan masuk hospital. takut #sprm cekup. Ini org yg sapu duit Tabung Haji. betul2 macam dlm filem Tamil.…
165,RT @PutraREFORMASI: Tunggu.. Lepas ni skandal felda Lepas tu MARA Lepas tu tabung haji Lepas tu tanah ATM Lepas tu skandal Scorpene Lepas t…
166,RT @PutraREFORMASI: Tunggu.. Lepas ni skandal felda Lepas tu MARA Lepas tu tabung haji Lepas tu tanah ATM Lepas tu skandal Scorpene Lepas t…
167,"RT @azean_hasan: Tu baru 1mdb punya lapuran..belum lagi kwap, tabung haji, mara..felda..siapa sebenarnya memiskinkan melayu,kalau bukan bek…"
168,RT @PutraREFORMASI: Tunggu.. Lepas ni skandal felda Lepas tu MARA Lepas tu tabung haji Lepas tu tanah ATM Lepas tu skandal Scorpene Lepas t…
169,RT @PutraREFORMASI: Tunggu.. Lepas ni skandal felda Lepas tu MARA Lepas tu tabung haji Lepas tu tanah ATM Lepas tu skandal Scorpene Lepas t…
